,RainToday,Humidity3pm,Rainfall,Cloud3pm,WindDir3pm_cos,WindDir9am_cos,WindDir9am_sin,Month_cos,WindDir3pm_sin,WindGustDir_cos,WindGustDir_sin,WindGustSpeed,Pressure3pm,CloudChange,Month_sin,Longitude,Rainfall_lag3,Latitude,WindGustRatio,Cloud9am,Humidity3pm_lag1,PressureDelta,WindSpeed9am,HumidityDiff,Rainfall_lag1
3,0,3.6635616461296463,0.33647223662121295,6,-0.9238795325112867,-0.7071067811865475,0.7071067811865476,-0.4999999999999998,0.38268343236508984,-0.9238795325112867,0.38268343236508984,3.7376696182833684,1.4451206674668824,1.27641726136007,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,1.3682758556172123,3,57.0,0.1032897269838169,2.995732273553991,-0.46118974185527534,0.7884573603642702
4,0,3.784189633918261,0.0,0,-0.9238795325112867,-0.3826834323650897,0.9238795325112867,-0.4999999999999998,0.38268343236508984,-0.7071067811865475,0.7071067811865476,3.8066624897703196,1.224426809079562,-0.5214959090182127,0.8660254037844388,-0.25965766315947475,0.18232155679395462,-0.34057038365579057,0.9668430110369863,1,38.0,-0.8377087237662071,2.995732273553991,0.3448580847870918,0.33647223662121295
5,0,4.276666119016055,0.0,0,-0.7071067811865477,0.7071067811865476,0.7071067811865475,-0.4999999999999998,-0.7071067811865475,-0.38268343236509034,-0.9238795325112865,3.6375861597263857,0.26808675606784044,-0.5214959090182127,0.8660254037844388,-0.25965766315947475,0.7884573603642702,-0.34057038365579057,0.8630462173553428,1,43.0,-0.9945417988911913,2.4849066497880004,0.7722252036088987,0.0
6,0,3.9512437185814275,0.0,2,-0.38268343236509034,-1.0,1.2246467991473532e-16,-0.4999999999999998,-0.9238795325112865,-0.38268343236509034,-0.9238795325112865,3.5263605246161616,0.12095751714296024,-2.26277953031587,0.8660254037844388,-0.25965766315947475,0.33647223662121295,-0.34057038365579057,0.8898574748059995,7,71.0,0.20784511040051265,2.995732273553991,0.7116372356446157,0.0
7,0,4.356708826689592,0.0,0,-0.38268343236509034,-1.8369701987210297e-16,-1.0,-0.4999999999999998,-0.9238795325112865,0.38268343236509,-0.9238795325112866,3.784189633918261,-0.12916218902934284,-0.07905830371956053,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.9093702890295813,0,51.0,0.4692335689421926,2.995732273553991,2.12698221911609,0.0
8,1,3.970291913552122,2.0794415416798357,7,-0.9238795325112867,-1.0,1.2246467991473532e-16,-0.4999999999999998,-0.38268343236508967,-0.9238795325112867,-0.38268343236508967,3.6888794541139363,1.1067234179396477,-0.07905830371956053,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.9400072584914712,7,77.0,0.6260666440672362,3.044522437723423,0.3448580847870918,0.0
9,0,4.110873864173311,0.0,6,-0.7071067811865477,-0.9238795325112867,0.38268343236508984,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,3.6375861597263857,1.400981895789425,-0.5214959090182127,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.9082585601768908,7,52.0,0.10328972698393578,2.772588722239781,1.0705505219629112,2.0794415416798357
10,0,4.060443010546419,0.0,1,-0.38268343236509034,-0.9238795325112867,0.38268343236508984,-0.4999999999999998,-0.9238795325112865,-0.7071067811865477,-0.7071067811865475,3.5263605246161616,1.3274172763269847,0.3692260373206595,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.7985076962177716,0,60.0,0.10328972698393578,2.8903717578961645,0.03626146974781495,0.0
11,0,4.02535169073515,0.0,1,-0.7071067811865477,6.123233995736766e-17,1.0,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,3.6375861597263857,1.1508621896171218,-3.1245579964792114,0.8660254037844388,-0.25965766315947475,2.0794415416798357,-0.34057038365579057,0.958850346292951,8,57.0,-0.36720949839113565,2.302585092994046,0.9524978106017482,0.0
12,0,4.1588830833596715,0.0,1,-0.7071067811865477,-0.3826834323650897,0.9238795325112867,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,3.58351893845611,1.1655751135095964,-2.6941935662747207,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.8312975190407624,7,55.0,-0.21037642326615147,2.772588722239781,1.4662589710274394,0.0
13,0,4.02535169073515,0.0,0,-0.9238795325112867,0.7071067811865476,0.7071067811865475,-0.4999999999999998,-0.38268343236508967,-0.7071067811865477,-0.7071067811865475,3.4339872044851463,1.0184458745847162,-1.3960098817596551,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.9808292530117263,3,63.0,0.15556741869210536,1.6094379124341003,0.5899265582446725,0.0
14,0,4.143134726391533,0.0,2,-0.7071067811865477,0.7071067811865476,0.7071067811865475,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,3.5263605246161616,1.224426809079562,-0.07905830371956053,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.8415671856782186,2,55.0,0.3124004938172084,1.6094379124341003,1.2420588277252655,0.0
15,0,4.110873864173311,0.0,2,-0.7071067811865477,1.0,0.0,-0.4999999999999998,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,3.7376696182833684,1.356843124111934,0.82151233215572,0.8660254037844388,-0.25965766315947475,0.0,-0.34057038365579057,0.842678914530909,0,62.0,-0.10582103984957458,2.0794415416798357,0.28331537710450466,0.0
